cve_ent,case_rate,case_rate_last_60_days,death_rate,death_rate_last_60_days,pct_disability,pct_limitation,pct_mental_problem,pct_no_problems,pct_no_med_insurance,pct_med_insurance,pct_pop_obesity,pct_pop_hypertension,pct_pop_diabetes,average_years_finish,average_household_size,pct_household_tics,pct_household_no_tics,population/sqkm
8002,996.2972859487728,49.62400274840631,68.7101576516395,3.817230980646639,5.355575065847234,12.012825896094972,1.4238271557811963,81.2650303469863,7.905485360919188,91.49520937511927,40.868955019490585,23.739889603648862,9.461470086077396,9.41,3.15,98.7011410536538,1.2988589463462006,2.8467375753094863
8003,1724.3203215910291,126.9438273563948,137.52247963609437,21.15730455939913,5.543213794562573,11.46725907119433,0.5818258753834762,72.33682428858563,15.994922246905745,73.60626256214958,41.65318448948927,28.39696589364439,11.055248531928322,9.13,3.09,99.01675163874728,0.9832483612527312,4.462909302336387
8004,608.9238845144357,5.2493438320209975,47.24409448818898,0.0,3.695538057742783,9.412073490813649,1.1181102362204725,113.38582677165354,27.396325459317584,99.5958005249344,57.112306074779696,18.06731106181324,6.797502338522056,9.15,3.01,98.873556744579,1.1264432554210082,38.576191426883966
8005,431.6710212427581,15.14635162255292,71.94517020712637,11.359763716914689,3.5896853345450417,8.054072475292513,0.9390738005982808,86.26983225415577,31.538490666060813,66.88628876519368,47.36827935591813,20.81106445496863,9.817450044668728,7.76,3.29,98.19512810803988,1.804871891960116,2.0374280757661394
8006,386.38727894189327,0.0,118.88839352058255,14.86104919007282,5.706642888987963,15.737851092287118,1.0997176400653883,64.30375984544509,11.116064794174468,75.03343736067767,45.536884699187326,28.73801449071042,11.937525781779314,6.88,2.89,99.1008991008991,0.8991008991008992,7.082930280226612
8007,213.1837307152876,11.220196353436185,28.050490883590463,0.0,3.584852734922861,6.866760168302945,0.3814866760168303,81.62131837307153,13.436185133239832,78.72089761570827,37.88959918140335,20.856719678845234,8.836053654091634,5.38,3.78,68.2892906815021,31.71070931849792,3.344912333357718
8008,131.3857330551047,30.91429013061288,0.0,0.0,3.5551433650204807,8.918772702681816,0.4869000695571527,74.44161063451581,11.082773011824717,75.91003941571992,30.289487264060234,15.253107988445413,8.712931432912262,3.59,3.98,42.08289054197662,57.917109458023376,6.0993124130766345
8009,1494.888553712083,97.20127367186193,67.03536115300821,13.407072230601642,3.0869783810960283,7.621920563097034,0.7239819004524887,66.94151164739401,9.183844477962126,68.86542651248534,33.92342454882226,19.415998800603035,9.824473701107872,7.93,3.06,89.71231605462017,10.287683945379822,11.084767532894343
8010,575.9769609215632,183.99264029438825,35.9985600575977,0.0,4.419823207071717,13.09147634094636,1.1839526418943245,82.24071037158514,21.02715891364345,79.38082476700932,24.337591456612238,26.81521405938108,25.144152499881745,7.87,3.21,99.02912621359224,0.9708737864077668,3.152934105023621
8011,1176.3641299429917,39.815401321147405,188.21826079087865,7.239163876572256,2.749072482128314,6.721563659397339,1.0388200162881187,79.43172563568908,12.681205320785448,76.79847977558592,38.83925949604195,24.064221793299712,9.964038061900547,9.49,3.15,99.291730474732,0.7082695252679938,4.038410286656059
8012,128.92988197956956,0.0,79.34146583358127,9.917683229197658,3.5306952295943668,8.77714965783993,0.4958841614598829,67.7675295051076,15.84845780025786,64.4054348904096,27.47893638916068,29.03286561223959,25.162844621396918,4.63,3.63,79.4170403587444,20.58295964125561,3.912889557290321
8013,864.6957094622416,16.47039446594746,107.05756402865848,8.23519723297373,7.246973565016882,15.753932306678744,1.1446924153833484,73.89442477147328,23.198550605287,73.97677674380301,44.38820428258633,24.904447443349312,9.770637612221808,8.5,3.18,98.8673139158576,1.132686084142395,3.224899061602679
8014,1142.1319796954317,380.7106598984772,169.2047377326565,0.0,6.091370558375635,15.820642978003384,0.7191201353637902,63.155668358714045,9.263959390862944,76.09983079526226,45.107428259874894,28.97879341208239,11.115844986287568,8.0,3.02,98.51411589895989,1.4858841010401187,1.260803667901279
