cve_ent,pct_pop_0_4_years_old,pct_pop_5_9_years_old,pct_pop_10_14_years_old,pct_pop_15_19_years_old,pct_pop_20_24_years_old,pct_pop_25_29_years_old,pct_pop_30_34_years_old,pct_pop_35_39_years_old,pct_pop_40_44_years_old,pct_pop_45_49_years_old,pct_pop_50_54_years_old,pct_pop_55_59_years_old,pct_pop_60_64_years_old,pct_pop_65_69_years_old,pct_pop_70_74_years_old,pct_pop_75_79_years_old,pct_pop_80_84_years_old,pct_pop_85_89_years_old,pct_pop_90_94_years_old,pct_pop_95_99_years_old,pct_pop_100_and_more_years_old
16,8.907798543582182,8.907798543582182,8.846290702057715,8.44992986075147,8.09116175008046,7.617356567879022,7.155301704459381,6.599202843452804,6.202572594484894,5.606663570550925,5.048264382587064,4.1944493317757425,3.7063033725072794,2.901499792452482,2.2035888830793544,1.5529901038276406,1.0600984249806389,0.6419362867459099,0.27469219656563254,0.10871635331447065,0.019583864636327636
17,7.11520905962551,7.11520905962551,8.031914945662011,8.153095460109252,7.932553772935994,7.563141554691696,7.015652197736072,6.653138022502297,6.386266925889579,6.084856691933399,5.591035088045447,4.702606286122997,4.132710519955891,3.2117483946150256,2.34073592823687,1.6236819111786454,1.0740399734254116,0.6495901779695097,0.2606090433833091,0.09021270433617833,0.016633578890618565
18,8.03999158758035,8.03999158758035,8.795402038382052,8.090823090074197,7.566521363588037,7.18175405158117,7.029259544099626,6.610423484619784,6.313738241819815,5.831110586843876,5.0410881511379655,4.230034666308647,3.7016198564145864,2.9393801350488253,2.155410916433786,1.5451224651183366,1.0118961236905069,0.5504547285326148,0.21519962811517565,0.07729492592957625,0.01831486196724899
19,8.108673685013581,8.108673685013581,8.247903399426006,8.411464001070916,8.980610689227191,8.704735860144991,7.993899631614325,7.604409362810605,7.299087921488059,6.910292820890981,5.961316919520733,4.635256828111461,3.872229509605175,2.752295703878308,2.0645069751217124,1.3783403055139496,0.8974799796012694,0.4460306162773101,0.18475431953460092,0.055203485537738455,0.0074864268407653055
20,8.684564338244611,8.684564338244611,9.613926850441151,8.656931315406702,7.488838792806146,7.4120214026812,6.981356518364618,6.672856142000433,6.262149781602585,5.646572913893812,5.078635860230482,4.329768874500947,3.7595391246196237,3.0696547658034947,2.2611294111173565,1.7646038112333908,1.223913642097571,0.7586411117115025,0.30480792877099655,0.11820659027081087,0.026933147150311334
21,8.763468757660553,8.763468757660553,9.135884269563057,9.193799757163767,8.640324532652297,7.998984321331175,7.205050048823135,6.932657990800446,6.4364017539080844,5.797075336012032,5.066234877054883,4.074222066300439,3.472870038705715,2.6932745810363343,1.9437497530074794,1.385338463408995,0.913838258471446,0.5525213223627521,0.22363705931045594,0.08526068253061458,0.016125488704511547
22,8.242233302933757,8.242233302933757,8.711957210731358,8.69177855948118,9.169837127577768,9.393556956655818,8.535394012292308,8.01632014219808,7.269929379107287,6.572625378514211,5.52092284868161,4.294674985534978,3.5413094277729305,2.536938995111941,1.7976107599587128,1.2026914811437084,0.7598139528354734,0.43756966569677536,0.18402052607498473,0.06715981535656773,0.010615725222919262
23,8.572768225786142,8.572768225786142,8.952861989985255,8.562206841803814,9.574242757472904,10.703382370264713,10.162894840531807,9.370152716451793,7.934442820260913,6.792072462700036,5.464065471295957,3.8871115717370404,2.8620770296281637,1.9848438336895382,1.2579652855432644,0.736279340482191,0.43063753040024744,0.2190616732597944,0.07729540365087315,0.030813708212172403,0.005919017396688484
24,8.057207214436689,8.057207214436689,8.819521154220551,8.855004392664425,8.099005562180798,7.709457521644078,7.127630103463122,6.6978188798740605,6.286290072159718,5.912233238967225,5.363865433045537,4.387989150572442,3.7553966272431722,2.8692228089187486,2.203554464503154,1.6044215534331516,1.1252757190676526,0.6603650482076604,0.28093513859397057,0.10100685869716154,0.016049449050326188
25,7.483699615481358,7.483699615481358,8.241966069350209,8.286601657313994,8.141163769207717,7.359518277782248,6.826520571969104,6.511283711906899,6.472286970399857,6.101010113809662,5.451750798466994,4.542280894384406,3.9164006165983563,3.0112707235527014,2.238970511367344,1.5538823457854691,0.9806840997835063,0.5013821509601561,0.18997843933203112,0.0609185490804562,0.012766601809372776
26,7.1012392897622405,7.1012392897622405,8.416665447053333,8.316657153682664,8.03328406095465,7.411866675122653,6.992579872477229,6.73226560251338,6.631281618475679,6.250306936022337,5.551842510517132,4.568313795127725,3.9548970727653834,2.8525292341316106,2.0125896619069223,1.3503233601485651,0.8502818932952164,0.42940146256030987,0.15373632610183935,0.04621521459503146,0.006407035380169737
27,8.042531801466945,8.042531801466945,8.657587586455167,8.111847550448298,7.330247363532918,7.010259741622922,7.053139871250759,6.9772929692526535,6.51568040424727,5.726343911079907,5.07622205453746,4.145999260580177,3.3000205653568204,2.5195089039442333,1.6267624880116411,1.1476557631399606,0.7259687585405517,0.4398809308603589,0.1686048252002984,0.06519490243507042,0.017921794885251918
28,7.432746708625043,7.432746708625043,8.37815242527123,8.079489355454252,7.781291962257184,7.321011712588773,7.035688908295125,7.045961186675513,6.8108492791051995,6.470220528011544,5.790661375849791,4.594968172372666,3.8322446544432944,2.7483960179718303,2.0165441206683172,1.3968381105362895,0.923190202602201,0.49115187029426927,0.19484457631919339,0.06264720174919096,0.009669638048738263
29,8.004284023822999,8.004284023822999,8.675148241571987,8.783045932242569,8.25623853722905,7.591098911530415,6.993567442578357,6.876466926712903,6.481687464810062,5.825678201115788,5.129089550735466,4.080764573615717,3.369900674704767,2.4607050233657555,1.774985851562053,1.2584682296010685,0.8399208412106861,0.5307928704916121,0.23311408387324448,0.08920218751879513,0.014275248530627654
30,7.028837234137976,7.028837234137976,8.026687082297114,7.980784701204774,7.030488314682369,6.796608657142235,6.652578226673921,6.543325875757711,6.29596824866725,6.04403209325865,5.720350047811077,4.785908718431282,4.0732508323905,3.269760096825921,2.378914319692754,1.7065498248098154,1.1151468255576027,0.6369892159849889,0.2555661906480456,0.09723810525275467,0.025258019391882443
31,7.7901002966670765,7.7901002966670765,8.372235290368103,8.6920974654486,8.832064832955453,8.45359519595874,8.102127486279922,7.706571383800083,7.136963513756375,6.464217134449236,5.416232496332607,4.567442404003722,3.84104629369775,3.201189147172898,2.3559845566681923,1.5763813699095834,0.99491035802785,0.5411009172687506,0.2057015676168099,0.06887704738793979,0.00907441819699721
32,9.106014908552796,9.106014908552796,9.082611529104803,8.473703602800246,7.815408544993898,7.061399666111787,6.867511668684958,6.284587494434196,6.161809765330114,5.707904221369565,5.173167005315568,4.164661377102854,3.482842922518012,2.683527501371198,2.106304150319306,1.58164839002752,1.0836364771072944,0.6585951011326036,0.27417959153301735,0.10339493022792491,0.014342070995051687
