cve_ent,municipality,case_rate,case_rate_last_60_days,death_rate,death_rate_last_60_days,population,pct_disability,pct_limitation,pct_mental_problem,pct_no_problems,average_years_finish,pct_no_med_insurance,pct_med_insurance,average_household_size,pct_household_tics,pct_household_no_tics,pct_pop_0_14_years_old,pct_pop_15_64_years_old,pct_pop_65_more_years_old
20533,Santo Tomas Tamazulapan,601.1163589523401,214.68441391155,42.93688278231001,0.0,2329,8.24388149420352,14.426792614856163,0.9016745384285102,94.16058394160584,7.24,43.23744096178617,73.8085015027909,3.65,94.90616621983914,5.093833780160858,33.147273507943325,71.96221554315156,11.936453413482182
20534,San Vicente Coatlan,861.64451009355,0.0,73.8552437223043,0.0,4062,6.671590349581487,17.183653372722794,0.7385524372230428,62.43229935992122,5.23,24.519940915805023,61.915312653865094,4.15,79.90543735224587,20.094562647754138,27.22796651895618,49.33530280649926,9.896602658788774
20535,San Vicente Lachixio,170.18379850238256,0.0,0.0,0.0,2938,4.663036078965282,14.15929203539823,0.9870660313138189,90.91218515997276,6.44,43.635125936010894,66.13342409802587,4.49,85.33519553072625,14.664804469273744,37.23621511232131,64.7719537100068,7.8284547311095976
20536,San Vicente Nuñu,894.8545861297539,0.0,447.42729306487695,0.0,447,12.304250559284116,20.13422818791946,0.22371364653243847,67.56152125279642,7.18,7.158836689038031,92.84116331096197,2.97,93.37748344370861,6.622516556291391,20.3579418344519,60.62639821029083,19.463087248322147
20537,Silacayoapam,422.0023282887078,43.65541327124564,14.551804423748544,0.0,6872,10.491850989522701,18.058789289871942,1.6880093131548313,68.62630966239813,6.52,26.629802095459837,70.99825378346914,3.49,92.46753246753246,7.532467532467532,25.07275902211874,55.820721769499414,16.749126891734576
20538,Sitio de Xitlapehua,559.4405594405595,0.0,139.86013986013987,0.0,715,13.146853146853147,11.608391608391608,1.5384615384615385,74.40559440559441,6.65,32.16783216783217,67.55244755244755,3.51,94.08866995073892,5.911330049261084,28.11188811188811,59.44055944055944,12.167832167832168
20539,Soledad Etla,2664.418212478921,236.0876897133221,202.3608768971332,16.863406408094434,5930,5.025295109612141,13.54131534569983,1.0455311973018548,87.99325463743676,9.68,37.70657672849916,69.34232715008432,3.8,97.36369083283404,2.636309167165968,25.632377740303543,72.58010118043845,8.836424957841484
20540,Villa de Tamazulapam del Progreso,1370.887337986042,186.9391824526421,149.55134596211366,12.46261216350947,8024,4.299601196410768,16.26370887337986,1.0468594217347957,82.85144566301096,9.69,24.177467597208373,79.53639082751745,3.59,96.32781012091357,3.6721898790864307,27.417746759720842,67.04885343968095,9.297108673978066
20541,Tanetze de Zaragoza,0.0,0.0,0.0,0.0,1702,7.344300822561692,12.220916568742656,0.5287896592244419,71.8566392479436,7.27,19.44770857814336,72.03290246768508,3.02,87.374749498998,12.625250501002002,17.685076380728553,59.22444183313749,14.62984723854289
20542,Taniche,840.3361344537815,120.04801920768308,0.0,0.0,833,7.803121248499399,23.289315726290518,1.680672268907563,74.90996398559425,6.25,30.012004801920767,76.47058823529412,3.55,94.39999999999999,5.6000000000000005,25.45018007202881,65.42617046818727,15.606242496998798
20543,Tataltepec de Valdes,50.00833472245375,0.0,16.669444907484582,0.0,5999,6.401066844474079,11.401900316719454,0.7001166861143524,88.39806634439074,6.32,21.75362560426738,84.59743290548425,3.92,73.9423666462293,26.057633353770694,33.605600933488915,64.41073512252042,8.384730788464744
20544,Teococuilco de Marcos Perez,611.6207951070337,203.87359836901123,101.93679918450562,0.0,981,11.824668705402651,17.32925586136595,0.7135575942915392,75.94291539245668,6.83,21.8144750254842,83.38430173292558,3.49,92.22972972972973,7.77027027027027,27.01325178389399,57.696228338430174,20.489296636085626
20545,Teotitlan de Flores Magon,822.2093248210485,58.03830528148578,135.42271232346684,0.0,10338,4.111046624105243,12.77810021280712,0.9673050880247631,80.53782162894177,9.49,31.83401044689495,65.82511124008512,3.72,97.37523105360444,2.6247689463955637,28.17759721416135,60.83381698587734,8.676726639582125
20546,Teotitlan del Valle,838.5399539625124,32.88391976323578,115.09371917132522,0.0,6082,7.1686945083854,19.812561657349555,1.019401512660309,77.88556395922393,7.53,50.559026635975016,54.53798092732654,3.77,98.40613931523022,1.5938606847697756,22.410391318645182,68.61229858599145,14.074317658664912
20547,Teotongo,811.3590263691683,101.41987829614604,101.41987829614604,0.0,986,8.72210953346856,17.748478701825558,0.8113590263691683,75.45638945233266,7.48,12.170385395537526,89.75659229208925,3.08,96.875,3.125,25.760649087221093,57.40365111561866,18.76267748478702
